"ITTER107","Territorio","TIPO_DATO4","Tipo dato","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"001272","Torino","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",20.88,,
"001272","Torino","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",10.15,,
"001272","Torino","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",4.71,,
"002158","Vercelli","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",33.41,,
"002158","Vercelli","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",13.04,,
"002158","Vercelli","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",10.83,,
"003106","Novara","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",32.04,,
"003106","Novara","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",12.8,,
"003106","Novara","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",4.34,,
"004078","Cuneo","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",18.1,,
"004078","Cuneo","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",13.25,,
"004078","Cuneo","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",8.26,,
"005005","Asti","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",29.32,,
"005005","Asti","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",19.25,,
"005005","Asti","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",6.93,,
"006003","Alessandria","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",67.87,,
"006003","Alessandria","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",36.25,,
"006003","Alessandria","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",8.12,,
"096004","Biella","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",2.91,,
"096004","Biella","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",1.88,,
"096004","Biella","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",1.62,,
"103072","Verbania","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",21.88,,
"103072","Verbania","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",21.19,,
"103072","Verbania","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",18.58,,
"007003","Aosta","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",2.69,,
